Greenland_temperature_(ºC),Upper_band,Lower_band,"Age_(B.P.,_radio-carbon_calibrated)","NH_temperature_anomaly_(ºC,_full)","NH_temperature_anomaly_(ºC,_no_volc)",VII_(ºC),"Age_(B.P.,_radio-carbon_calibrated).1",Volcanic_forcing_(W/m2),Greenland temperature (ºC)_scaled,"NH temperature anomaly (ºC, full)_scaled","NH_temperature_anomaly_(ºC,_no_volc)_scaled",Co2(ppm),Co2(ppm)_scaled
-30.67,-30.33620261,-31.00379739,-5,0.227095067,0.334468667,-0.1073736,-5,0,0.701703891,0.844508376,0.770626446,254.6814421,0.626564156
-30.63,-30.30674822,-30.95325178,-4,0.219013867,0.323968443,-0.104954576,-4,0,0.70499034,0.84071257,0.763425614,254.5250565,0.625216004
-30.66,-30.30962714,-31.01037286,-3,0.210079411,0.320666958,-0.110587546,-3,0,0.702525504,0.836515983,0.761161525,254.404151,0.624173715
-30.62,-30.25170121,-30.98829879,-2,0.203889442,0.319853412,-0.11596397,-2,0,0.705811953,0.833608504,0.760603613,254.9220588,0.628638438
-30.63,-30.34440973,-30.91559027,-1,0.206462274,0.30785858,-0.101396306,-1,0,0.70499034,0.834816985,0.752377809,254.9759404,0.629102935
-30.61,-30.19998474,-31.02001526,0,0.206005162,0.296015452,-0.09001029,0,0,0.706633565,0.834602275,0.744256042,254.9604005,0.62896897
-30.54,-30.14805926,-30.93194074,1,0.204801924,0.293510644,-0.088708719,1,0,0.71238485,0.834037105,0.742538297,255.7350082,0.635646622
-30.57,-30.16438346,-30.97561654,2,0.200515917,0.290976592,-0.090460675,2,0,0.709920014,0.832023932,0.740800498,255.6988601,0.635335001
-30.58,-30.22727289,-30.93272711,3,0.192402243,0.286405165,-0.094002922,3,-0.015742543,0.709098401,0.828212873,0.73766551,255.4023759,0.632779102
-30.55,-30.19033561,-30.90966439,4,0.19087267,0.279450468,-0.088577799,4,-0.042792669,0.711563238,0.82749442,0.732896125,255.5219786,0.63381016
-30.5,-30.1619996,-30.8380004,5,0.188446218,0.270961378,-0.082515159,5,-0.116322534,0.715671299,0.826354696,0.727074486,255.5944195,0.634434651
-30.53,-30.13906514,-30.92093486,6,0.182891021,0.263363018,-0.080471997,6,-0.316197431,0.713206463,0.823745374,0.721863691,255.022319,0.62950275
-30.52,-30.15651278,-30.88348722,7,0.183969884,0.259459933,-0.075490049,7,-0.85951373,0.714028075,0.824252125,0.719187038,255.2863949,0.631779266
-30.55,-30.11062005,-30.98937995,8,0.175172541,0.261731912,-0.086559371,8,0,0.711563238,0.820119942,0.720745113,255.0854449,0.630046939
-30.56,-30.20968446,-30.91031554,9,0.176690574,0.259360362,-0.082669787,9,0,0.710741626,0.820832974,0.719118754,255.3287766,0.632144626
-29.77143963,-28.8465,-30.5635,10,0.170083007,0.259868324,-0.089785317,10,0,0.775530709,0.817729346,0.719467104,259.351339,0.666821888
-29.82448916,-28.97,-30.57,11,0.169651919,0.259817287,-0.090165368,11,0,0.771172095,0.81752686,0.719432104,259.2875539,0.666272016
-29.87718266,-29.1065,-30.6035,12,0.168294529,0.25667312,-0.088378591,12,0,0.766842732,0.816889283,0.7172759,258.8597824,0.662584331
-29.92939628,-29.2265,-30.607,13,0.169870383,0.26056254,-0.090692157,13,0,0.762552797,0.817629475,0.719943182,259.0389984,0.664129297
-29.98091331,-29.303,-30.6135,14,0.165611638,0.254919226,-0.089307587,14,0,0.758320096,0.815629107,0.716073116,258.2177367,0.657049455
-30.03145511,-29.3865,-30.65,15,0.166212167,0.255692328,-0.089480161,15,0,0.75416752,0.815911181,0.716603294,258.2206305,0.657074401
-30.08181115,-29.4265,-30.6935,16,0.163954491,0.255979309,-0.092024818,16,0,0.750030206,0.814850732,0.716800099,258.0884527,0.655934937
-30.13145511,-29.47,-30.767,17,0.163471303,0.253883436,-0.090412133,17,0,0.745951398,0.814623775,0.715362794,258.0728409,0.655800353
-30.180387,-29.483,-30.82,18,0.173133331,0.249375161,-0.07624183,18,0,0.741931094,0.819162108,0.712271114,258.5811543,0.660182365
-30.22849845,-29.45,-30.9105,19,0.173962988,0.245967988,-0.072005,19,0,0.737978198,0.819551804,0.709934546,258.6685715,0.660935961
-30.28130031,-29.46,-31.01,20,0.169325441,0.245417251,-0.07609181,20,0,0.733639933,0.817373511,0.709556863,258.5911825,0.660268815
-30.37467492,-29.58,-31.0605,21,0.160379769,0.240498986,-0.080119216,21,0,0.725968161,0.813171656,0.70618402,257.8066264,0.6535054
-30.4675387,-29.72,-31.1105,22,0.142708398,0.225646751,-0.082938353,22,0,0.718338359,0.804871268,0.695998671,255.9187098,0.637230257
-30.55995356,-29.8465,-31.1635,23,0.137769718,0.21035648,-0.072586762,23,0,0.710745441,0.80255153,0.685512925,254.8562334,0.628070977
-30.65173375,-29.98,-31.237,24,0.132978103,0.204941106,-0.071963002,24,0,0.703204669,0.80030087,0.681799176,254.4387519,0.624471999
-30.74289474,-30.12,-31.31,25,0.122896841,0.206543449,-0.083646609,25,0,0.695714771,0.795565618,0.682898029,254.1733332,0.622183907
-30.83383901,-30.2365,-31.39,26,0.111042943,0.211119617,-0.100076674,26,0,0.688242678,0.789997746,0.686036268,253.9868867,0.62057661
-30.92414861,-30.3465,-31.45,27,0.089608196,0.212755103,-0.123146907,27,0,0.680822731,0.77992967,0.68715785,253.0989001,0.612921552
